Zn Content (wt. %),Co Cotent (wt. %),Fe Cotent (wt. %),N Content (at. %),O Content (at. %),S Content (at. %),Pyridinic Ratio,Pyrrolic Ratio,Graphitic Ratio,Oxidized Ratio,Content of Pyridinic Species (at. %),Content of Pyrrolic Species (at. %),Content of Graphitic Species (at. %),Content of Oxidized Species (at. %),Raman ID/IG Ratio,BET Surface Area (m2 g-1),Micropore Ratio,Mesopore Ratio,Catalyst Loading on RDE/RRDE(mg cm-2),Fe Precursor Ratio,Zn Precursor Ratio,2-Methylimidazole Precursor Ratio,Additive (Other) Precursor Ratio,ZIF Preparation Temperature (¡æ),ZIF Preparation Time (h),One-Pot Method,Post-Adsorb Method,Carbon-Derivative Adsorb Method,Pyrolysis Temperature (¡æ),Pyrolysis Time (h),Temperature Rising Rate (¡æ min-1),Seconde Pyrolysis,Acid Wash,Half Wave Potential in Acid Condition (vs. RHE),HW_0.78,HW_0.8,HW_0.82,Rotating Speed (rpm),PYMT_0.01,PYMT_0.02,PYMT_0.03
0,0,0.0405,0.066,0.078683859,0,0.453339345,0.104056468,0.364197638,0.078406549,0.029920397,0.006867727,0.024037044,0.005174832,1.04,525,0,1,0.35,0.006725444,0.031649147,0.82706002,0.134565389,25,8,0,1,0,950,2,2,0,0,0.745,0,0,0,1600,1,1,0
0,0.2996,0.014511174,0.0991,0.083041952,0.0151,0.96,0.01,0.01,0.01,0.095136,0.000991,0.000991,0.000991,1.133813712,382.79,0,1,0.493552096,0.055555556,0.076500252,0.930555556,0.013888889,25,6,1,0,0,700,0.17,5,0,0,0.78,1,0,0,1600,1,1,1
0,0,0.038,0.0709,0.093642021,0,0.395061728,0.21399177,0.390946502,0.01,0.028009877,0.015172016,0.027718107,0.000709,1.041568835,1009,0.136625396,0.750168808,0.477602945,0.008031933,0.24339191,0.730175729,0.018400428,49.0672529,10.97494015,1,0,0,950,3,2,0,0,0.74,0,0,0,1600,1,1,0
0,0,0.034312249,0.088172657,0.081883449,0,0.704003407,0.248722317,0.047274276,0.01,0.062073851,0.021930508,0.004168299,0.000881727,1.018871382,681,0.323310049,0.655357025,0.5,0.019210715,0.091954023,0.908045977,0,25,1,0,1,0,900,2,5,0,1,0.78,1,0,0,1600,1,1,1
0,0,0.034271808,0.0464,0.0667,0,0.459745305,0.20030218,0.269803583,0.070148932,0.021332182,0.009294021,0.012518886,0.00325491,1.031182972,666,0.31425172,0.609841167,0.479953658,0.03612816,0.060152222,0.488092315,0.451755463,25,1,1,0,0,900,2,2,0,1,0.797,1,0,0,1600,1,1,0
0,0,0.011028058,0.051466854,0.070077986,0,0.424348864,0.146458241,0.313983844,0.126191554,0.021839901,0.007537745,0.016159761,0.006494682,0.963418195,1099.75,0.421258262,0.546753368,0.56,0.000510204,0.009693878,0.989795918,0,25,10,1,0,0,1000,1,5,1,0,0.81,1,1,0,1600,1,1,0
0,0,0.009536667,0.050232605,0.070513375,0,0.418202716,0.144578832,0.309732167,0.135768944,0.021007412,0.007262571,0.015558654,0.006820028,0.982929217,752.7,0.417248802,0.558238795,0.56,0.000306122,0.009897959,0.989795918,0,25,10,1,0,0,1000,1,5,1,0,0.77,0,0,0,1600,1,1,0
0,0,0.010672294,0.051728659,0.064543084,0,0.41291059,0.1348318,0.308968703,0.143714383,0.021359311,0.006974668,0.015982537,0.007434152,0.965339132,822.02,0.421401237,0.537231432,0.56,0.000816327,0.009387755,0.989795918,0,25,10,1,0,0,1000,1,5,1,0,0.8,1,1,0,1600,1,1,0
0,0,0.01244582,0.052391879,0.062982015,0,0.427891343,0.134880522,0.305958166,0.148268892,0.022418031,0.007066644,0.016029723,0.007768086,0.969297872,601.07,0.417625173,0.544172385,0.56,0.001020408,0.009183673,0.989795918,0,25,10,1,0,0,1000,1,5,1,0,0.8,1,1,0,1600,1,1,0
0.0345,0,0.0147,0.1015,0.085434255,0,0.552437223,0.228951256,0.171344165,0.047267356,0.056072378,0.023238552,0.017391433,0.004797637,1.06,705,0.346947793,0.641044854,0.622,0.007992644,0.47142453,0.520582826,0,25,48,0,1,0,900,4,3,0,1,0.75,0,0,0,2500,1,1,1
0,0.106,0,0.0085,0.090901242,0,0.522222222,0.477777778,0.01,0.01,0.004438889,0.004061111,0.000085,0.000085,1.158444327,484,0.356862758,0.673333016,0.6,0,0.16,0.8,0,25,10.56581926,1,0,0,900,3,4.33134749,0,0,0.761,0,0,0,2500,0,0,0
0,0,0.0035,0.0497,0.0924,0,0.406438632,0.221327968,0.3722334,0.01,0.0202,0.011,0.0185,0.000497,1.72,1498,0,0.75,0.4,0.020772819,0.110025526,0.869201655,0,25,24,1,0,0,850,1,5,0,1,0.77,0,0,0,1600,1,1,0
0,0,0.0032,0.0328,0.0789,0,0.399390244,0.262195122,0.338414634,0.01,0.0131,0.0086,0.0111,0.000328,1.57,1323,0,0.757,0.4,0.020772819,0.110025526,0.869201655,0,25,24,1,0,0,950,1,5,0,1,0.78,1,0,0,1600,1,0,0
0,0,0.0039,0.0263,0.0664,0,0.209125475,0.292775665,0.498098859,0.01,0.0055,0.0077,0.0131,0.000263,1.38,1376,0,0.751,0.4,0.020772819,0.110025526,0.869201655,0,25,24,1,0,0,1050,1,5,0,1,0.77,0,0,0,1600,0,0,0
0,0.015,0,0.1029,0.0506,0,0.627793975,0.01,0.372206025,0.01,0.0646,0.001029,0.0383,0.001029,1.03,446.8,0.39,0.61,0.3,0,0.108416709,0.88897893,0,25,4,1,0,0,750,3,4.265388123,0,0,0.73,0,0,0,1600,1,1,1
0,0.0159,0,0.0903,0.0703,0,0.61572536,0.01,0.38427464,0.01,0.0556,0.000903,0.0347,0.000903,1.01,398.3,0.34,0.66,0.3,0,0.101583974,0.88897893,0,25,4,1,0,0,750,3,4.549119845,0,0,0.705,0,0,0,1600,1,1,1
0.026,0,0,0.0493,0.059406635,0,0.325803556,0.097529617,0.454165275,0.123482345,0.016062115,0.00480821,0.022390348,0.00608768,1.119127684,884.9,0.425,0.575,0.500925232,0,0.472953,0.522613065,0,25,24,0,1,0,950,1,5,0,1,0.76,0,0,0,1600,1,0,0
0.083,0.3,0,0.04,0.058264248,0,0.470812248,0.091748368,0.343663467,0.122408968,0.01883249,0.003669935,0.013746539,0.004896359,1.75,285.9,0.0937,0.9063,0.516506679,0,0.297017267,0.666666667,0,120,12,1,0,0,900,0.167,10,0,0,0.71,0,0,0,1600,1,0,0
0,0,0.0335,0.0688,0.076249316,0,0.447878082,0.137051295,0.310152118,0.116631334,0.030814012,0.009429129,0.021338466,0.008024236,0.987220894,969,0.337,0.663,0.56,0.047192072,0.008966494,0.943841435,0,60,12,1,0,0,1000,2.760517795,4.132717238,0,0,0.82,1,1,1,1600,1,1,1
0.0578,0,0.0476,0.119,0.0462,0,0.582227737,0.041996755,0.261238904,0.114536604,0.069285101,0.004997614,0.03108743,0.013629856,1.12,446.3,0.278,0.428,0.32,0.02,0.18,0.8,0,150,12,1,0,0,800,3,3.311386634,0,1,0.629,0,0,0,1600,1,1,1
0.0239,0,0.0467,0.0793,0.0401,0,0.490036629,0.033644939,0.380149627,0.096168805,0.038859905,0.002668044,0.030145865,0.007626186,1.07,526.6,0.296,0.407,0.32,0.02,0.18,0.8,0,150,12,1,0,0,900,3,3.255081184,0,1,0.709,0,0,0,1600,1,1,1
0,0,0.0345,0.0485,0.0359,0,0.354951891,0.089781949,0.399724476,0.155541684,0.017215167,0.004354425,0.019386637,0.007543772,1.01,448.9,0.294,0.424,0.32,0.02,0.18,0.8,0,150,12,1,0,0,1000,3,3.724384624,0,1,0.658,0,0,0,1600,1,0,0
0,0,0.032943988,0.0561,0.058757677,0,0.569942327,0.189980776,0.04975687,0.190320027,0.031973765,0.010657922,0.00279136,0.010676954,1.059492702,360,0.365284709,0.518981893,0.4,0.083879015,0.086979281,0.916120985,0,150,96,1,0,0,700,1,4.074948707,1,1,0.625,0,0,0,1600,1,1,1
0,0,0.027414965,0.036,0.085659459,0,0.421686747,0.265060241,0.096385542,0.21686747,0.015180723,0.009542169,0.00346988,0.007807229,1.092173942,371,0.357526127,0.548428606,0.4,0.083879015,0.081563889,0.916120985,0,150,96,1,0,0,800,1,4.540061836,1,1,0.64,0,0,0,1600,1,0,0
0,0,0.018350127,0.096,0.085047137,0,0.394925027,0.216471366,0.181351074,0.226346003,0.037912803,0.020781251,0.017409703,0.021729216,1.168990016,219,0.373956666,0.512822007,0.4,0.083879015,0.120774921,0.916120985,0,150,96,1,0,0,900,1,5.029128139,1,1,0.57,0,0,0,1600,1,1,1
